lam,LB,n1,tc_bps,label,Ann.Ret,Sharpe,CVaR(5%),MDD,MDD_abs,Calmar,HHI,Turnover
0.5,252,0.2,20,"DFL-MDD (LB=252, n1=0.2)",0.0672282083818756,0.45256092988192703,0.02606138697355147,0.3323912840700627,0.36197764866718063,0.20225623108540763,0.4311535857270473,0.5536151082228832
0.5,252,0.2,40,"DFL-MDD (LB=252, n1=0.2)",0.05325767370910439,0.3790992333213701,0.026107340784435794,0.33307593026400584,0.3624732052332278,0.15989649462481764,0.4311535857270473,0.5536151082228832
0.5,252,0.3,0,"DFL-MDD (LB=252, n1=0.3)",0.02612451412366612,0.2293004240233874,0.030153432018572297,0.4234226841365192,0.4969998862533888,0.061698428299304955,0.518095156180107,0.6561423631892469
0.5,252,0.3,5,"DFL-MDD (LB=252, n1=0.3)",0.022134574745678703,0.2097070080455548,0.030162390294095936,0.4282757474870699,0.5052569977805129,0.05168299832616291,0.518095156180107,0.6561423631892469
0.5,252,0.3,10,"DFL-MDD (LB=252, n1=0.3)",0.018158184083731044,0.19010145183371188,0.030171348569618936,0.43309045460835394,0.513514109307638,0.04192700136039453,0.518095156180107,0.6561423631892469
0.5,252,0.3,20,"DFL-MDD (LB=252, n1=0.3)",0.010245889870965419,0.150865041667775,0.0301892651206629,0.4426059339470178,0.5300283323618872,0.023149011531049656,0.518095156180107,0.6561423631892469
0.5,252,0.3,40,"DFL-MDD (LB=252, n1=0.3)",-0.005417857798131864,0.07236901236003036,0.030225098222742414,0.4611889802704905,0.5630567784703852,-0.01174758727708432,0.518095156180107,0.6561423631892469
0.5,252,0.4,0,"DFL-MDD (LB=252, n1=0.4)",0.052565524988135603,0.3849534428351247,0.02440427312172839,0.330986952255515,0.3557725423100414,0.15881449287969113,0.7309656131932337,0.43281522756958174
0.5,252,0.4,5,"DFL-MDD (LB=252, n1=0.4)",0.0498640056946178,0.3699892582634835,0.024404932452603167,0.33145256297441206,0.3562490010778877,0.15044085111938985,0.7309656131932337,0.43281522756958174
0.5,252,0.4,10,"DFL-MDD (LB=252, n1=0.4)",0.047168080937280976,0.3550039051619845,0.024410135797973326,0.3319180116149657,0.3568305304582674,0.14210762680088154,0.7309656131932337,0.43281522756958174
0.5,252,0.4,20,"DFL-MDD (LB=252, n1=0.4)",0.04179297840220997,0.3249773505454165,0.024426016728494804,0.33284842266104137,0.35799358921902624,0.12556159363931851,0.7309656131932337,0.43281522756958174
0.5,252,0.4,40,"DFL-MDD (LB=252, n1=0.4)",0.03110950548377356,0.26475488169298417,0.024469547203413343,0.33470729981306796,0.36031970674054437,0.09294540481146808,0.7309656131932337,0.43281522756958174
0.5,504,0.1,0,"DFL-MDD (LB=504, n1=0.1)",0.06827538185550508,0.45168888309465377,0.02652976099358042,0.3916152748989171,0.42225893615965227,0.17434299991412203,0.30292434338361746,0.5517676517574097
0.5,504,0.1,5,"DFL-MDD (LB=504, n1=0.1)",0.06478148590116706,0.4338773130485776,0.02653865616324355,0.39188847266634497,0.42254135158167494,0.16530592350388326,0.30292434338361746,0.5517676517574097
0.5,504,0.1,10,"DFL-MDD (LB=504, n1=0.1)",0.061297810298025945,0.4160503947780869,0.026547551332906334,0.39240108593660283,0.4228237670036977,0.15621213212521062,0.30292434338361746,0.5517676517574097
0.5,504,0.1,20,"DFL-MDD (LB=504, n1=0.1)",0.05436101422968065,0.3803574465641233,0.026577412837130474,0.3935980718764332,0.42403834687544306,0.13811300943805316,0.30292434338361746,0.5517676517574097
0.5,504,0.1,40,"DFL-MDD (LB=504, n1=0.1)",0.04060890459624211,0.3088638116290832,0.0266437151259605,0.39598759800397104,0.42728291847336053,0.10255095056178952,0.30292434338361746,0.5517676517574097
