lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
0.5,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",3.01,0.2562,4.66,77.47,116.35,0.0388,0.8231,0.0952
0.5,0,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.99,0.2242,4.51,77.47,116.35,0.0257,0.7292,0.0882
0.5,0,PTO-MVO,PTO-MVO (LB=252),7.56,0.5056,2.57,35.96,39.12,0.2103,0.1859,0.0803
0.5,0,PTO-MVO,PTO-MVO (LB=504),5.84,0.4067,2.63,37.24,40.52,0.1569,0.185,0.0544
0.5,0,DFL-MVO,DFL-MVO (LB=252),9.81,0.5691,2.83,33.83,38.87,0.2899,1.0,0.4731
0.5,0,DFL-MVO,DFL-MVO (LB=504),11.3,0.5954,3.22,42.38,46.84,0.2666,1.0,0.5161
0.5,0,Benchmark,EW,11.9,0.6541,3.02,38.73,42.74,0.3072,0.1,0.0327
0.5,0,Benchmark,GMV (LB=252),7.91,0.5268,2.56,34.81,37.83,0.2274,0.1792,0.0797
0.5,0,Benchmark,hist-MVO (LB=252),11.5,0.6811,2.77,33.62,36.7,0.342,0.2261,0.2701
0.5,0,Benchmark,GMV (LB=504),6.41,0.4388,2.61,36.14,39.3,0.1774,0.1838,0.0531
0.5,0,Benchmark,hist-MVO (LB=504),7.73,0.4935,2.76,33.61,36.44,0.2299,0.1979,0.1495
0.5,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",7.54,0.5162,2.45,30.98,33.28,0.2435,0.3412,0.5163
0.5,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.78,0.5075,2.6,33.19,36.16,0.2345,0.4312,0.5536
0.5,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",2.21,0.2097,3.02,42.83,50.53,0.0517,0.5181,0.6561
0.5,5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.99,0.37,2.44,33.15,35.62,0.1504,0.731,0.4328
0.5,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.48,0.4339,2.65,39.19,42.25,0.1653,0.3029,0.5518
0.5,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.45,0.4903,2.49,36.17,38.92,0.206,0.4662,0.6405
0.5,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",1.71,0.1842,2.59,33.4,36.06,0.0511,0.5346,0.6389
0.5,5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.26,0.4481,2.9,42.36,46.04,0.1714,0.5013,0.6747
0.5,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.41,0.1689,4.25,77.47,116.35,0.0053,0.7131,0.0758
0.5,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.6,0.2099,4.43,77.47,116.35,0.0207,0.8026,0.0707
0.5,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.56,0.1385,4.23,77.47,116.35,-0.0073,0.7263,0.0848
0.5,5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.23,0.1522,4.38,77.47,116.35,-0.0029,0.7347,0.0892
0.5,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",6.04,0.3416,4.58,77.47,116.35,0.0779,0.7402,0.0816
0.5,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.4,0.2385,4.67,77.47,116.35,0.031,0.8188,0.0885
0.5,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.95,0.2545,4.66,77.47,116.35,0.0381,0.8231,0.0952
0.5,5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.94,0.2226,4.51,77.47,116.35,0.025,0.7292,0.0882
0.5,5,PTO-MVO,PTO-MVO (LB=252),7.51,0.5029,2.57,35.97,39.13,0.2088,0.1859,0.0803
0.5,5,PTO-MVO,PTO-MVO (LB=504),5.81,0.4049,2.63,37.24,40.52,0.156,0.185,0.0544
0.5,5,DFL-MVO,DFL-MVO (LB=252),9.5,0.5551,2.83,33.9,38.96,0.2802,1.0,0.4731
0.5,5,DFL-MVO,DFL-MVO (LB=504),10.96,0.5814,3.22,42.38,46.84,0.2585,1.0,0.5161
0.5,5,Benchmark,EW,11.87,0.6531,3.02,38.73,42.74,0.3066,0.1,0.0327
0.5,5,Benchmark,GMV (LB=252),7.86,0.5241,2.56,34.81,37.83,0.2259,0.1792,0.0797
0.5,5,Benchmark,hist-MVO (LB=252),11.32,0.6724,2.77,33.63,36.71,0.3366,0.2261,0.2701
0.5,5,Benchmark,GMV (LB=504),6.38,0.4371,2.61,36.15,39.3,0.1765,0.1838,0.0531
0.5,5,Benchmark,hist-MVO (LB=504),7.63,0.4887,2.76,33.62,36.45,0.227,0.1979,0.1495
0.5,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",7.21,0.498,2.45,30.99,33.29,0.2328,0.3412,0.5163
0.5,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.43,0.4892,2.6,33.2,36.17,0.2237,0.4312,0.5536
0.5,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",1.82,0.1901,3.02,43.31,51.35,0.0419,0.5181,0.6561
0.5,10,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.72,0.355,2.44,33.19,35.68,0.1421,0.731,0.4328
0.5,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.13,0.4161,2.65,39.24,42.28,0.1562,0.3029,0.5518
0.5,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.04,0.4691,2.49,36.2,38.96,0.1946,0.4662,0.6405
0.5,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",1.32,0.163,2.59,33.42,36.08,0.0395,0.5346,0.6389
0.5,10,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",6.83,0.4283,2.9,42.39,46.07,0.1612,0.5013,0.6747
0.5,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.37,0.1674,4.25,77.47,116.35,0.0047,0.7131,0.0758
0.5,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.56,0.2086,4.43,77.47,116.35,0.0202,0.8026,0.0707
0.5,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.61,0.1369,4.23,77.47,116.35,-0.0079,0.7263,0.0848
0.5,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.28,0.1506,4.38,77.47,116.35,-0.0036,0.7347,0.0892
0.5,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",5.99,0.3402,4.58,77.47,116.35,0.0773,0.7402,0.0816
0.5,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.35,0.237,4.67,77.47,116.35,0.0303,0.8188,0.0885
0.5,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.89,0.2529,4.66,77.47,116.35,0.0373,0.8231,0.0952
